folio,fecha_apertura,fecha_cierre,cliente,region,tipo_equipo,tipo_servicio,falla_reportada,tecnico_id,requiere_refaccion,horas_respuesta,costo_servicio,reincidencia_30d,estatus
F-202500607,2025-04-28 12:00,2025-05-02 08:48,Cliente 023,bajio,Refrigerador vertical,Correctivo,Problema electrico,TEC-030,Si,92.8,10256.95,Si,Cerrado
F-202500728,2025-02-02 14:00,2025-02-03 19:48,Cliente 051,Centro,Congelador horizontal,Correctivo,Problema electrico,TEC-012,No,29.8,4293.14,No,Cerrado
F-202500390,2025-02-25 16:00,2025-02-26 01:36,Cliente 051,Centro,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-030,No,9.6,960.65,No,Cerrado
F-202500350,2025-03-02 15:00,2025-03-03 18:42,Cliente 007,Bajio,Congelador horizontal,Correctivo,Acumulacion de hielo,TEC-009,No,27.7,3669.31,No,Cerrado
F-202500977,2025-02-04 17:00,2025-02-05 23:06,Cliente 043,Occidente,Vitrina refrigerada,Correctivo,Acumulacion de hielo,TEC-033,No,30.1,4304.27,No,Cerrado
F-202500315,2025-03-31 14:00,2025-04-01 12:54,Cliente 006,Centro,Refrigerador vertical,Correctivo,Problema electrico,TEC-029,No,22.9,10592.44,Si,Cerrado
F-202501163,2025-11-06 15:00,2025-11-07 07:30,Cliente 053,Occidente,Camara fria,Correctivo,Acumulacion de hielo,TEC-037,No,16.5,11824.43,No,Cerrado
F-202500841,2025-04-16 09:00,2025-04-17 13:48,Cliente 051,Centro,Refrigerador vertical,Correctivo,Falla de compresor,TEC-018,No,28.8,3503.22,No,Cerrado
F-202500806,2025-10-13 16:00,2025-10-16 22:12,Cliente 059,Norte,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-022,Si,78.2,4973.58,No,Cerrado
F-202500430,2025-09-19 18:00,2025-09-20 14:42,Cliente 009,Bajio,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-020,No,20.7,9344.85,No,Cerrado
F-202500451,2025-12-17 07:00,2025-12-18 07:42,Cliente 009,Centro,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-019,Si,24.7,5195.05,No,Cerrado
F-202500209,2025-04-07 09:00,2025-04-09 06:30,Cliente 010,Bajio,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-026,Si,45.5,4427.6,No,Cerrado
F-202500639,2025-10-17 18:00,2025-10-21 15:24,Cliente 001,Norte,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-010,Si,93.4,11982.04,No,Cerrado
F-202500987,2025-08-14 18:00,2025-08-15 15:24,Cliente 040,Sureste,Maquina de hielo,Correctivo,Termostato descalibrado,TEC-006,No,21.4,4873.0,Si,Cerrado
F-202501013,2025-03-31 18:00,2025-04-01 13:36,Cliente 046,Bajio,Camara fria,Instalacion,Termostato descalibrado,TEC-010,No,19.6,3153.07,No,Cerrado
F-202500587,2025-09-09 16:00,2025-09-10 17:06,Cliente 019,Centro,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-021,No,25.1,10870.25,No,Cerrado
F-202501284,2025-10-20 16:00,2025-10-23 05:18,Cliente 030,Norte,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-007,Si,61.3,13480.97,No,Cerrado
F-202500155,2025-06-08 12:00,2025-06-09 08:42,Cliente 041,Centro,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-038,No,20.7,1633.02,No,Cerrado
F-202500869,2025-06-12 08:00,2025-06-14 01:24,Cliente 028,Norte,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-035,No,,4587.82,Si,Cerrado
F-202500176,2025-06-18 10:00,2025-06-19 21:36,Cliente 008,Centro,Vitrina refrigerada,Correctivo,Acumulacion de hielo,TEC-008,No,35.6,10263.59,Si,Cerrado
F-202500008,2025-09-12 17:00,2025-09-14 03:18,Cliente 010,Centro,Vitrina refrigerada,Correctivo,Puerta / empaque danado,TEC-035,No,34.3,8588.91,No,En proceso
F-202501077,2025-09-17 13:00,2025-09-18 06:00,Cliente 021,Centro,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-033,No,17.0,5437.21,No,Cerrado
F-202501276,2025-09-18 14:00,2025-09-19 00:00,Cliente 034,Bajio,Refrigerador vertical,Correctivo,Problema electrico,TEC-026,No,10.0,9039.35,Si,Cerrado
F-202500712,2025-07-10 15:00,2025-07-11 22:30,Cliente 023,Norte,Vitrina refrigerada,Correctivo,Acumulacion de hielo,TEC-025,No,31.5,8032.75,No,Cerrado
F-202500153,2025-12-01 13:00,2025-12-01 18:48,Cliente 022,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-023,No,5.8,1593.57,No,Cerrado
F-202500778,2025-02-13 12:00,2025-02-17 06:06,Cliente 034,Occidente,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-037,Si,90.1,14990.1,No,Cerrado
F-202500759,2025-02-16 16:00,2025-02-18 16:06,Cliente 007,Bajio,Camara fria,Correctivo,Falla de compresor,TEC-001,Si,48.1,16135.57,No,Cerrado
F-202501152,2025-07-04 10:00,2025-07-05 09:48,Cliente 031,Bajio,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-038,No,23.8,834.3,No,Cerrado
F-202500239,2025-04-23 09:00,2025-04-23 23:36,Cliente 037,Centro,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-038,No,14.6,11602.25,No,Cerrado
F-202500360,2025-10-01 13:00,2025-10-02 21:30,Cliente 021,Sureste,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-004,No,32.5,1891.94,No,Cerrado
F-202500079,2025-07-26 09:00,2025-07-29 17:06,Cliente 036,Bajio,Refrigerador vertical,Correctivo,Falla de compresor,TEC-007,Si,80.1,15472.81,No,Cerrado
F-202500228,2025-07-31 14:00,2025-08-01 20:42,Cliente 057,Centro,Vitrina refrigerada,Correctivo,Problema electrico,TEC-027,Si,30.7,9130.72,No,Cerrado
F-202501295,2025-12-14 18:00,2025-12-15 11:54,Cliente 056,Occidente,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-024,No,17.9,1080.54,No,Cerrado
F-202501149,2025-09-09 12:00,2025-09-09 19:24,Cliente 009,Centro,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-030,No,7.4,2259.78,No,Cerrado
F-202500117,2025-01-14 12:00,2025-01-16 12:12,Cliente 007,Centro,Congelador horizontal,Instalacion,Acumulacion de hielo,TEC-007,No,48.2,2875.1,No,Cerrado
F-202500324,2025-12-01 15:00,2025-12-02 00:42,Cliente 045,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-035,No,9.7,1621.95,Si,Cerrado
F-202500147,2025-01-13 15:00,2025-01-14 00:18,Cliente 020,Centro,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-024,No,9.3,1873.41,No,Cerrado
F-202501362,2025-01-25 12:00,2025-01-28 00:48,Cliente 059,Sureste,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-030,No,60.8,,No,Cerrado
F-202500174,2025-09-21 16:00,2025-09-23 06:18,Cliente 017,Occidente,Maquina de hielo,Correctivo,Fuga de refrigerante,TEC-003,Si,38.3,14374.29,No,Cerrado
F-202501153,2025-06-07 09:00,2025-06-08 00:18,Cliente 057,Norte,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-021,No,15.3,1439.78,No,Cerrado
F-202500889,2025-01-06 18:00,2025-01-07 11:48,Cliente 058, Centro ,Camara fria,Instalacion,Problema electrico,TEC-030,No,17.8,12213.4,No,Cerrado
F-202500047,2025-06-12 18:00,2025-06-14 14:48,Cliente 017,Sureste,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-007,No,44.8,1712.68,No,Cerrado
F-202501033,2025-09-24 08:00,2025-09-26 11:48,Cliente 047,Norte,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-018,No,51.8,7529.83,No,Cerrado
F-202501389,2025-11-22 07:00,2025-11-24 08:24,Cliente 047,Sureste,Congelador horizontal,Correctivo,Problema electrico,TEC-025,No,49.4,6207.31,No,Cerrado
F-202500148,2025-03-27 17:00,2025-03-28 17:54,Cliente 043,Occidente,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-021,No,24.9,809.2,No,Cerrado
F-202500154,2025-04-18 14:00,2025-04-19 06:42,Cliente 018,Bajio,Vitrina refrigerada,Correctivo,Problema electrico,TEC-007,No,16.7,12445.73,No,Cerrado
F-202501103,2025-12-02 16:00,2025-12-03 20:48,Cliente 051,Sureste,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-011,No,28.8,2035.25,No,Cerrado
F-202500838,2025-03-14 10:00,2025-03-15 20:00,Cliente 038,Centro,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-029,Si,34.0,4736.23,No,Cerrado
F-202500165,2025-06-02 13:00,2025-06-03 10:24,Cliente 022,OCCIDENTE,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-033,No,21.4,1845.0,Si,Cerrado
F-202500814,2025-04-14 08:00,2025-04-15 11:36,Cliente 011,Bajio,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-025,Si,27.6,5526.24,No,En proceso
F-202500857,2025-03-31 16:00,2025-04-01 11:06,Cliente 009,Sureste,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-022,No,,13588.74,Si,Cerrado
F-202500574,2025-01-18 11:00,2025-01-19 06:42,Cliente 001,Bajio,Congelador horizontal,Correctivo,Problema electrico,TEC-010,No,19.7,8576.1,Si,Cerrado
F-202501378,2025-10-02 17:00,2025-10-03 16:36,Cliente 001,Bajio,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-013,No,23.6,2314.03,No,Cerrado
F-202500403,2025-04-27 12:00,2025-04-29 12:54,Cliente 005,Centro,Vitrina refrigerada,Instalacion,Acumulacion de hielo,TEC-031,Si,48.9,12819.38,No,Cerrado
F-202501206,2025-11-26 16:00,2025-11-27 02:54,Cliente 042,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-022,No,10.9,1208.01,No,Cerrado
F-202500387,2025-01-25 09:00,2025-01-29 14:30,Cliente 035, Centro ,Vitrina refrigerada,Correctivo,Puerta / empaque danado,TEC-007,Si,101.5,12945.87,No,Cerrado
F-202500465,2025-01-03 17:00,2025-01-06 23:18,Cliente 019,NORTE,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-032,Si,78.3,12019.48,No,Cerrado
F-202500123,2025-08-27 09:00,2025-08-29 01:12,Cliente 009,Occidente,Congelador horizontal,Correctivo,Problema electrico,TEC-020,No,2267.9,11833.27,Si,Cerrado
F-202500096,2025-04-16 12:00,2025-04-17 21:06,Cliente 044,Norte,Congelador horizontal,Correctivo,Acumulacion de hielo,TEC-004,No,33.1,6554.29,No,En proceso
F-202500211,2025-04-06 16:00,2025-04-07 17:06,Cliente 008,Centro,Refrigerador vertical,Correctivo,Problema electrico,TEC-004,No,25.1,13410.11,No,Cerrado
F-202500046,2025-12-21 07:00,2025-12-24 22:42,Cliente 052,Norte,Camara fria,Correctivo,Falla de compresor,TEC-025,Si,87.7,10854.02,No,Cerrado
F-202500595,2025-04-28 16:00,2025-04-29 18:48,Cliente 054,Bajio,Vitrina refrigerada,Correctivo,Termostato descalibrado,TEC-006,Si,26.8,9257.49,No,Cerrado
F-202500834,2025-02-22 08:00,2025-02-24 07:48,Cliente 045,SURESTE,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-006,Si,47.8,7450.28,No,Cerrado
F-202500163,2025-05-30 09:00,2025-05-31 08:54,Cliente 009,Occidente,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-020,Si,23.9,7307.33,No,Cerrado
F-202500383,2025-12-12 07:00,2025-12-12 11:48,Cliente 040,Centro,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-005,No,4.8,1273.87,No,Cerrado
F-202501122,2025-01-31 07:00,2025-01-31 13:42,Cliente 014,Norte,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-027,No,6.7,2200.52,No,Cerrado
F-202501176,2025-05-04 10:00,2025-05-06 02:54,Cliente 016,Norte,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-010,Si,40.9,3347.22,No,Cerrado
F-202500657,2025-10-07 15:00,2025-10-08 17:42,Cliente 023,Sureste,Maquina de hielo,Correctivo,Fuga de refrigerante,TEC-025,Si,26.7,12411.13,Si,Cerrado
F-202500479,2025-08-31 15:00,2025-09-02 18:18,Cliente 056,Norte,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-003,No,51.3,9947.41,No,Cerrado
F-202500191,2025-09-07 15:00,2025-09-09 14:18,Cliente 004,Centro,Vitrina refrigerada,Correctivo,Termostato descalibrado,TEC-001,No,47.3,10118.85,Si,Cerrado
F-202500515,2025-12-17 10:00,2025-12-17 15:36,Cliente 042,Centro,Refrigerador vertical,Correctivo,Problema electrico,TEC-026,No,5.6,3447.29,No,Cerrado
F-202500486,2025-03-26 09:00,2025-03-27 04:06,Cliente 056,Centro,Camara fria,Correctivo,Fuga de refrigerante,TEC-011,Si,19.1,17588.15,No,Cerrado
F-202500821,2025-01-09 18:00,2025-01-10 11:18,Cliente 010,Bajio,Camara fria,Preventivo,Mantenimiento programado,,No,17.3,1656.04,No,Cerrado
F-202500540,2025-01-08 09:00,2025-01-09 13:36,Cliente 054,Centro,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-008,No,28.6,870.89,No,Cerrado
F-202500169,2025-05-03 17:00,2025-05-05 18:24,Cliente 037,Bajio,Camara fria,Correctivo,Termostato descalibrado,TEC-033,No,-49.4,2371.05,No,Cerrado
F-202500256,2025-02-22 09:00,2025-02-24 04:30,Cliente 024,Bajio,Refrigerador vertical,Correctivo,Falla de compresor,TEC-013,No,43.5,11963.42,No,Cerrado
F-202500092,2025-10-21 12:00,2025-10-22 19:12,Cliente 039,Occidente,Maquina de hielo,Correctivo,Falla de compresor,TEC-009,Si,31.2,16710.24,No,Cerrado
F-202501249,2025-04-29 18:00,2025-05-01 22:24,Cliente 034,Norte,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-022,Si,52.4,15059.97,No,Cerrado
F-202500926,2025-12-12 16:00,2025-12-14 14:30,Cliente 055,Sureste,Vitrina refrigerada,Correctivo,Termostato descalibrado,TEC-006,No,46.5,6047.0,Si,Cerrado
F-202500944,2025-06-23 15:00,2025-06-24 15:30,Cliente 035,Centro,Refrigerador vertical,Instalacion,Termostato descalibrado,TEC-002,No,24.5,3052.82,No,Cerrado
F-202500738,2025-05-02 07:00,2025-05-02 22:48,Cliente 012,Occidente,Camara fria,Preventivo,Mantenimiento programado,TEC-024,No,,1752.86,No,Cerrado
F-202501030,2025-05-02 10:00,2025-05-03 16:24,Cliente 031,Occidente,Camara fria,Correctivo,Termostato descalibrado,TEC-016,No,30.4,8141.03,No,Cerrado
F-202500530,2025-12-03 18:00,2025-12-05 20:30,Cliente 027,Bajio,Congelador horizontal,Correctivo,Acumulacion de hielo,TEC-026,Si,50.5,12589.24,No,Cerrado
F-202500251,2025-03-07 09:00,2025-03-07 12:42,Cliente 055,Centro,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-030,No,3.7,1748.52,Si,Cerrado
F-202500371,2025-05-03 11:00,2025-05-05 12:48,Cliente 045,Norte,Maquina de hielo,Correctivo,Puerta / empaque danado,TEC-004,No,49.8,5179.46,No,Cerrado
F-202501340,2025-05-29 11:00,2025-05-31 07:36,Cliente 035,Norte,Vitrina refrigerada,Correctivo,Problema electrico,TEC-002,No,1406.8,2414.56,No,Cerrado
F-202500170,2025-01-09 18:00,2025-01-10 13:00,Cliente 011,Bajio,Congelador horizontal,Correctivo,Problema electrico,TEC-016,No,19.0,11967.73,No,Cerrado
F-202500074,2025-02-17 09:00,2025-02-18 07:54,Cliente 026,Bajio,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-010,Si,22.9,8265.49,No,Cerrado
F-202501207,2025-07-08 13:00,2025-07-10 15:24,Cliente 051,Norte,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-019,No,50.4,9605.96,Si,Cerrado
F-202501000,2025-07-07 15:00,2025-07-08 11:12,Cliente 010,Norte,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-006,No,20.2,7885.44,No,cerrado
F-202501200,2025-08-15 11:00,2025-08-17 06:00,Cliente 057,Sureste,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-038,Si,43.0,8132.05,No,Cerrado
F-202501353,2025-06-30 13:00,2025-07-02 15:54,Cliente 043,Occidente,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-026,No,50.9,12431.15,No,Cerrado
F-202500394,2025-08-07 10:00,2025-08-10 04:00,Cliente 027,Norte,Camara fria,Correctivo,Puerta / empaque danado,TEC-020,Si,66.0,8544.99,No,Cerrado
F-202500472,2025-10-21 09:00,2025-10-23 11:18,Cliente 011,Bajio,Camara fria,Correctivo,Falla de compresor,TEC-004,Si,50.3,15159.32,No,Cerrado
F-202500517,2025-11-18 10:00,2025-11-19 20:36,Cliente 036,Norte,Vitrina refrigerada,Correctivo,Acumulacion de hielo,TEC-017,No,34.6,10349.86,No,Cerrado
F-202500929,2025-06-02 07:00,2025-06-04 13:18,Cliente 040,Norte,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-032,No,54.3,1757.87,No,Cerrado
F-202500424,2025-08-01 17:00,2025-08-02 05:24,Cliente 009,Norte,Camara fria,Preventivo,Mantenimiento programado,TEC-003,No,12.4,2253.05,No,Cerrado
F-202500348,2025-12-08 11:00,2025-12-10 05:54,Cliente 035,Norte,Vitrina refrigerada,Correctivo,Fuga de refrigerante,TEC-021,Si,42.9,19268.78,No,En proceso
F-202501216,2025-02-11 15:00,2025-02-12 08:48,Cliente 049,Bajio,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-012,No,17.8,11975.41,Si,Cerrado
F-202500422,2025-09-11 16:00,2025-09-12 12:36,Cliente 048,Bajio,Vitrina refrigerada,Instalacion,Fuga de refrigerante,TEC-020,No,20.6,3891.79,No,Cerrado
F-202501316,2025-04-20 12:00,2025-04-21 22:06,Cliente 034,centro,Refrigerador vertical,Instalacion,Falla de compresor,TEC-005,Si,34.1,4045.03,No,Cerrado
F-202500549,2025-07-08 07:00,2025-07-10 18:00,Cliente 022,Centro,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-003,Si,59.0,4140.84,No,Cerrado
F-202501070,2025-01-04 09:00,2025-01-06 17:12,Cliente 025,Centro,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-013,Si,,15067.25,No,Cerrado
F-202500756,2025-06-09 12:00,2025-06-10 23:30,Cliente 054,Occidente,Vitrina refrigerada,Correctivo,Termostato descalibrado,TEC-014,No,35.5,8187.33,Si,Cerrado
F-202501306,2025-09-03 10:00,2025-09-06 08:36,Cliente 008,Bajio,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-017,Si,70.6,14103.82,No,Cerrado
F-202501104,2025-02-24 08:00,2025-02-25 03:30,Cliente 023,Occidente,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-028,No,19.5,10807.43,No,Cerrado
F-202501184,2025-06-13 14:00,2025-06-14 07:06,Cliente 020,Centro,Congelador horizontal,Correctivo,Falla de compresor,TEC-006,No,17.1,8778.84,No,Cerrado
F-202500585,2025-05-28 14:00,2025-05-29 22:54,Cliente 025,Norte,Congelador horizontal,Instalacion,Fuga de refrigerante,TEC-013,No,32.9,8104.54,Si,Cerrado
F-202500116,2025-07-27 18:00,2025-07-28 22:24,Cliente 057,Centro,Congelador horizontal,Correctivo,Acumulacion de hielo,TEC-031,No,28.4,12436.51,No,Cerrado
F-202500297,2025-11-07 12:00,2025-11-08 18:12,Cliente 001,Centro,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-016,No,30.2,2627.39,Si,Cerrado
F-202501387,2025-07-24 10:00,2025-07-25 15:54,Cliente 016,Norte,Congelador horizontal,Correctivo,Problema electrico,TEC-037,No,,5159.83,Si,Cerrado
F-202500707,2025-01-03 16:00,2025-01-04 02:06,Cliente 031,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-032,No,10.1,2033.61,No,Cerrado
F-202500598,2025-10-12 18:00,2025-10-15 04:12,Cliente 006,Centro,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-021,Si,58.2,5634.47,No,Cerrado
F-202500819,2025-08-31 10:00,2025-09-03 20:18,Cliente 026,Sureste,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-004,Si,82.3,12589.51,No,En proceso
F-202500335,2025-06-17 17:00,2025-06-19 00:12,Cliente 052,Occidente,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-032,No,31.2,10745.11,No,Cerrado
F-202500807,2025-07-18 08:00,2025-07-19 02:54,Cliente 004,Norte,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-022,No,18.9,1603.81,No,Cerrado
F-202500028,2025-10-28 17:00,2025-10-29 08:42,Cliente 010,Centro,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-025,Si,15.7,17645.84,No,Cerrado
F-202501055,2025-01-28 16:00,2025-01-29 05:30,Cliente 039,Norte,Camara fria,Preventivo,Mantenimiento programado,TEC-037,Si,13.5,6421.58,No,Cerrado
F-202501084,2025-07-22 10:00,2025-07-24 06:30,Cliente 060,Centro,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-006,Si,44.5,17759.46,No,Cerrado
F-202500734,2025-10-10 11:00,2025-10-12 03:54,Cliente 049,Sureste,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-030,Si,40.9,12395.78,No,Cerrado
F-202501135,2025-08-13 16:00,2025-08-15 00:18,Cliente 042,Sureste,Refrigerador vertical,Correctivo,Falla de compresor,TEC-028,No,32.3,13596.35,No,Cerrado
F-202501188,2025-08-07 10:00,2025-08-08 21:12,Cliente 013,Centro,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-019,No,35.2,13461.84,No,Cerrado
F-202501321,2025-02-11 14:00,2025-02-14 20:24,Cliente 018,Bajio,Maquina de hielo,Correctivo,Problema electrico,TEC-004,No,78.4,2786.36,No,Cerrado
F-202500578,2025-07-11 11:00,2025-07-12 22:48,Cliente 052,Sureste,Vitrina refrigerada,Correctivo,Acumulacion de hielo,TEC-033,No,35.8,10006.64,No,Cerrado
F-202500668,2025-11-11 17:00,2025-11-13 05:48,Cliente 035,Sureste,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-010,No,36.8,12490.3,Si,Cerrado
F-202500722,2025-12-06 18:00,2025-12-09 12:30,Cliente 020,Centro,Vitrina refrigerada,Correctivo,Fuga de refrigerante,TEC-001,Si,66.5,9725.85,Si,Cerrado
F-202501131,2025-05-29 17:00,2025-05-31 07:42,Cliente 019,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-033,Si,38.7,7092.05,No,Cerrado
F-202500388,2025-10-31 08:00,2025-10-31 15:24,Cliente 010,Norte,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-005,No,7.4,1490.95,No,Cerrado
F-202500236,2025-09-20 13:00,2025-09-21 12:24,Cliente 013,Bajio,Vitrina refrigerada,Correctivo,Problema electrico,TEC-038,No,23.4,7367.45,No,Cerrado
F-202500203,2025-06-30 16:00,2025-07-03 14:18,Cliente 019,Norte,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-002,Si,70.3,8346.85,No,Cerrado
F-202500753,2025-02-01 17:00,2025-02-03 09:30,Cliente 021,Occidente,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-026,Si,40.5,4412.89,No,Cerrado
F-202500017,2025-07-07 14:00,2025-07-08 04:42,Cliente 005,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-021,No,14.7,2022.93,No,Cerrado
F-202501110,2025-01-17 08:00,2025-01-19 00:42,Cliente 009,Norte,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-017,Si,40.7,15922.73,No,Cerrado
F-202501394,2025-09-28 13:00,2025-10-01 14:36,Cliente 045,Sureste,Vitrina refrigerada,Correctivo,Fuga de refrigerante,TEC-031,Si,73.6,13384.01,Si,Cerrado
F-202500110,2025-09-15 15:00,2025-09-16 08:18,Cliente 017,Occidente,Camara fria,Preventivo,Mantenimiento programado,TEC-011,No,17.3,852.51,No,Cerrado
F-202500932,2025-09-13 17:00,2025-09-16 04:54,Cliente 039,Bajio,Vitrina refrigerada,Correctivo,Termostato descalibrado,TEC-034,No,59.9,7907.23,No,Cerrado
F-202500745,2025-10-18 11:00,2025-10-19 16:24,Cliente 039,Centro,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-029,No,29.4,2721.63,No,Cerrado
F-202500617,2025-04-02 11:00,2025-04-04 18:18,Cliente 033,Centro,Camara fria,Correctivo,Puerta / empaque danado,TEC-023,Si,55.3,13181.98,No,Cerrado
F-202500550,2025-09-06 10:00,2025-09-08 16:06,Cliente 026,Sureste,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-007,No,54.1,7701.85,No,Cerrado
F-202500872,2025-03-15 10:00,2025-03-17 22:00,Cliente 059,Norte,Camara fria,Correctivo,Problema electrico,TEC-034,Si,60.0,16460.49,Si,Cerrado
F-202500159,2025-07-04 18:00,2025-07-05 12:18,Cliente 050,Norte,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-015,No,18.3,8409.61,No,Cerrado
F-202500263,2025-04-20 09:00,2025-04-23 18:24,Cliente 036,Occidente,Congelador horizontal,Correctivo,Falla de compresor,TEC-023,No,81.4,5564.74,No,Cerrado
F-202501041,2025-09-15 11:00,2025-09-16 23:36,Cliente 023,Sureste,Camara fria,Correctivo,Falla de compresor,TEC-009,No,36.6,,No,Cerrado
F-202500675,2025-08-15 15:00,2025-08-18 02:12,Cliente 056,Bajio,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-022,Si,59.2,16006.37,Si,Cerrado
F-202500553,2025-10-30 07:00,2025-10-31 12:54,Cliente 012,Occidente,Congelador horizontal,Correctivo,Falla de compresor,TEC-021,No,29.9,4465.12,No,Cerrado
F-202500862,2025-12-05 18:00,2025-12-06 19:12,Cliente 049,Sureste,Vitrina refrigerada,Correctivo,Puerta / empaque danado,TEC-015,No,25.2,2779.74,No,Cerrado
F-202501361,2025-01-31 08:00,2025-02-01 08:48,Cliente 038,Norte,Refrigerador vertical,Instalacion,Fuga de refrigerante,TEC-015,No,24.8,12531.75,No,Cerrado
F-202501125,2025-11-03 07:00,2025-11-04 05:18,Cliente 023,Sureste,Congelador horizontal,Correctivo,Falla de compresor,TEC-035,No,22.3,7383.64,No,Cerrado
F-202500972,2025-06-02 16:00,2025-06-03 17:12,Cliente 031,Centro,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-031,No,25.2,2462.48,No,Cerrado
F-202500215,2025-09-26 07:00,2025-09-27 01:06,Cliente 007,Occidente,Refrigerador vertical,Correctivo,Problema electrico,,No,,2571.51,No,Cerrado
F-202500267,2025-06-13 16:00,2025-06-15 22:54,Cliente 036,Occidente,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-030,No,54.9,2033.36,No,Cerrado
F-202500491,2025-12-07 09:00,2025-12-11 19:18,Cliente 005,Centro,Refrigerador vertical,Correctivo,Falla de compresor,TEC-005,Si,106.3,7036.97,No,Cerrado
F-202500690,2025-10-13 07:00,2025-10-15 02:06,Cliente 038,Bajio,Refrigerador vertical,Instalacion,Puerta / empaque danado,TEC-002,Si,43.1,5393.25,Si,Cerrado
F-202501310,2025-11-08 17:00,2025-11-10 11:12,Cliente 044,Norte,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-035,No,42.2,5021.75,No,Cerrado
